SPECIE ID,CHEMICAL SYMBOL,MOLECULAR WEIGHT,TEMP INTERVALS,TEMP1,TEMP2,B1,B2,HZERO,HEAT OF FORMATION,a1,a2,a3,a4,a5,a6,a7
SP1162,(CH3COOH)2,120.10392,2,1000,6000,63474.266,-373.455507,28053.17,-929015.36,6571327.59,-30368.7072,62.5037667,-0.005732625,0.00000108,-1.10E-10,4.61E-15
SP1434,(HCOOH)2,120.10392,2,200,1000,-117262.1688,131.9646887,28053.17,-820942.64,-200144.7991,3502.45737,-18.53488051,0.095474671,-0.000106,6.32E-08,-1.57E-11
